Sentiment,Text
positivo,Doña #Cuquita 😪🤧🤧🤧😭😭😭🙏🏻🕊️ @_VicenteFdez Hasta siempre Don Chente! 💌🤧💌🌌💫 #CharroDeHuentitán #Chente #VicenteFernandez @alexoficial 🙏🏻💌❤️😭 https://t.co/vnUw4nAzUA
positivo,@mariaLch16 Esa info nos gusta. No las de un jugador de banca y que ni siquiera tienen el valor de afirmar jajajajajja que oso.
positivo,Los bebés hermosos https://t.co/fsku3j1hmb
negativo,"@Twittaurino Pensé que estaba loco, por todos eso que están en la plaza pidiendo rabo para una faena lamentable.. Creía que era yo el problema"
negativo,El ego es de familia🌤
negativo,Te burlas o me restriegas en la cara que estoy desesperado por amor y vete a ti en un espejo
positivo,@marielenariv1 ya te quiero veeeerrrrrr❤️❤️❤️❤️
neutro,La vacación en Mérida Yucatán https://t.co/4hZSZDaHkX
positivo,Festejando a la Señora que me dió la vida! https://t.co/TsNCyAbgxJ
neutro,@AligabrielaE Pero mucho
positivo,#RogerFantasy de la suerte. #TheMoneyTeam https://t.co/c3d6xjzYJP
neutro,@M2Cyndy Es la cuna del origen de Lopez. La realidad que vivimos viene de ahí
positivo,Como buena yucateca! 🤤 https://t.co/Ge1q5jiZpK
negativo,Ya no estoy para para esas cosas
negativo,Ya no estoy para esas cosas
positivo,Como buena yucateca hoy tocó marquesita! 🤤  #VisitMexico #marquesita #Yucatan #Merida https://t.co/MJCRn4Xa1A
neutro,@svictorhurtadom Muy fácil: les toca “moche”
positivo,@sjrochin Ya es tiempo! 🙌🏼
negativo,Terrible lo que sucede
negativo,"Mi jefecita: “Hijo, no sé si no te has dado cuenta, pero te veo más llenito”.   Es el momento justo donde sabes que ya valió vrga, las posadas y la comida. 🥲"
positivo,@pauzazuetaz Cómo sigues mi hermosa?
neutro,Es una seca @Leyla_zapata 💪🏼
positivo,Entre otras noticias estoy en el changarro ... 🙂👌🏻
neutro,Ese espejo me llama 🤪🤪🤪 https://t.co/C0AGXiyAbI
negativo,"Creen que besar a mis perros me haya sacado una erupción en el labio? Me asusta un poco, yo le eche la culpa a Farmasi 🤔 el viernes compré un labial, indeleble por cierto, para poder quitarmelo literal tuve que lavarme muy intenso ...   :("
negativo,Las vacaciones deberían ser eternas https://t.co/BGdyjilONo
neutro,@RobMed92 Y sigueeeeees con eso
positivo,Celebrando la posada @losmayucasdelmayab!!!🔥🇲🇽🛸🎶🔊☄️🎄 #hiphopculture #rapmx #yucatan en Boston Americas https://t.co/YWjTjvoUlL
negativo,Jornada 11 nuestro clásico contra Querétaro. https://t.co/IYPRGGzAd0
positivo,"Las embajadoras de India, Sudáfrica, Colombia, Paraguay y Filipinas son las finalistas del Miss Universo 2021.  #MissUniverse"
neutro,Que se ordena de cenar en un domingo ?
positivo,@VaneGlzA Jajaja diciembre no va a poder conmigo !
negativo,"#PiensaDiferente 🧠 #ActitudPositiva 🤜🤛  Créditos: Licda, Sussy Soto Olokun. https://t.co/zfi5brdCZU"
neutro,Los Aguilar haciendole guardia al féretro de Don Vicente Fernández se queda en la historia de la música regional mexicana.
negativo,@Milenio Que nota tan irresponsable a horas de haber fallecido
positivo,"Vayan corriendo a ver #LosEnviados de @ParamountMexico, un excelente guión con unas excelentes actuaciones. https://t.co/cd1KXibHMu"
positivo,Paty Cantu solo apareció cantando el himno en la final del fútbol mexicano para demostrar que el covid se la pelo 🤣
neutro,Quienes andan por el centro??
positivo,Que beiio que hagan homenaje a Don Vicente en la final
positivo,"¡Maestro en Administración Pública! 👨🏻‍🎓  Estoy muy feliz de poder cumplir este logro, me siento entusiasmado por el futuro y contento por mi presente. https://t.co/H2SYlquuvt"
positivo,"Muchas gracias a todas las personas que formaron parte de este camino, a mi familia y amigos. https://t.co/x5kk9vnywW"
positivo,"Muchas gracias @Itsme_angiee por ayudarme en el último tramo, por tu paciencia y conocimientos. ¡Lo logramos colega! 🙌🏼 https://t.co/G1xcq0HjqZ"
neutro,"@TotalplayAyuda Sin servicio hace como 3 horas y contando, zona norponiente cd Mérida, Yuc, nos ayudan por favor.."
positivo,Ah claro ! 😊
positivo,Compré un espejo y lo rompí antes de salir de la tienda 🤡
neutro,¿hijos? broder has escuchado tener un santuario de gatitos?
neutro,Wtf con el petardo en la cancha
negativo,"@SEP_mx @USICAMM_OFICIAL Confío que en este 2022 se libere mi plaza de supervisora, ironías de la vida no hay plazas de supervisoras estatales pero si hay un sin fin de comisionados supervisores y quién se responsabilizan de esas zonas? Muy cuestionable lo que estoy viviendo siendo #2 no tengo mi clave."
neutro,"Paraguay, Sudáfrica e India son las finalistas del Miss Universo 2021.  #MissUniverse2021"
positivo,Estrenando nuevo look 😜😜 #Domingo https://t.co/wCFRtCYHKR
positivo,Estuvo buenísimo el enfieste con el escuadrón del after.  Lqm. 🥰🥰
positivo,"@Adela_PBernal @Mx_Diputados @TaniaCruz_D11 Soy la #2 en la lista de promoción vertical de supervisiones y hasta el día de hoy no hay plazas, pero ya se dieron como 10 o más plazas para supervisores federales no es equitativo y es muy cuestionable ver a tantos supervisores comisionados y yo añorando mi plaza."
positivo,"Llegaron a la final India, Paraguay y South Africa... coincidí otra vez con 2 finalistas y me quedo con India para que reciba de la mexicana Andrea Meza la corona de Miss Universo 2021, cumple con el perfil de la mujer que requiere este nuevo mundo...ya veremos si sirvo de juez"
negativo,"@dianarb1994 puñetas lame huevos, así se les dice https://t.co/RtQ3ddl6aK"
neutro,Desde ayer fui a un evento aquí en Mérida y me dieron chance los del lugar de pegar un combo de stickers. Y la pregunta del millon ubican cuales son mis stickers?! . #reigtdreve #graffiti #streetart #arteurbano https://t.co/aX4e7nl1jT
neutro,Algún grupo de WhatsApp o telegram que me compartan para conocer gente del ambiente SW. Acá en Campeche o Yucatán https://t.co/9tsR5eszuY
positivo,"Acabo el Trabajo de día...... Amos a seguirle!!!! #Animacion #XvAños en Fernando Novelo, Valladolid https://t.co/wTHoC73nuq"
neutro,ARTE cc @CarlosMEnrigue
positivo,@Cristina4820623 Que rico una así siempre
positivo,Pero acá es vamos a ponerles la 3ra de Astra jajaj 🙃
positivo,@eduardorivera01 Muchas Gracias alcalde saludos cordiales
negativo,Que asco que haya tantos comerciales en un partido de fútbol
negativo,Sí que horror 😢
positivo,Que jugadorazo es Furch 👏👏 #FinalLigaMX
negativo,Hay mas culos que estrellas
neutro, Miss Universo: sigue de cerca el certamen 👑   https://t.co/v9NneLBjHG
positivo,"Excelente segundo día de tour #lascoloradas #riolagartos #granjadecocodrilositzamkanac #yucatan en Las Coloradas, Yucatán https://t.co/mu2UD1NI5p"
neutro,@DanielMuvdiYT Donde se puede invertir en ella ?
negativo,@DemianMaiden De unos amigos 😬
positivo,"Si, si me gusta mi nombre pero me gusta más el diminutivo suena mas lindo... Aún que el Chugar dice que suena de teibolera 😂"
positivo,Lugar preferido?  en sus brazos. 🫂 ♡
neutro,@ccesario26 Comida típica yucateca a base de chiles secos. https://t.co/MZ3xvE1Vbx
negativo,"La cuarentena del covid el año pasado hizo que me acercara más a mi mamá siendo que llevábamos casi toda la vida separadas, &amp; este año le he agarrado muchísima confianza a mi hermano mayor, me habré quedado pelona &amp; otras cosas pero que bonito que me dejó algo bueno🥰"
positivo,Jajajja cuando salen conmigo por bonita
neutro,#MissUniverse  La representante de India es la nueva Miss Universo 2021 - 2022 https://t.co/9YzloqDscy
positivo,"Se los dije!!!!!💗💗💗...India es la nueva mujer más hermosa del Universo, pero además es una mujer preparada, culta con una personalidad impresionante, conjuga la belleza con la inteligencia de la mejor manera.... felicidades!!!"
positivo,El changuito
neutro,"Avísenle al Atlas que la final es de dos partidos, hasta ahorita sólo jugaron en León, en su cancha y con su gente, nada..."
negativo,Que el espíritu de la Navidad nunca se pierda
negativo,@ReginaCRV La derecha se nos metió por la izquierda :c
negativo,Quiero farsar con un peso
neutro,¿Es así ? https://t.co/JXPPEHqten
positivo,Me quedó roja la 🍆 de tanto limar y sentones que se dio este rico pasivo. Si hay foto hay video 🥵 #Domingo  #cogidas  @ferch_inter https://t.co/ynTChxt7Mk
positivo,"Muchísimas felicidades a nuestra morenita del Tepeyac,  la Virgen de Guadalupe. Y muchas felicidades a todas mis amigas que se llaman lupitas. https://t.co/DZQH3pb61b"
neutro,@SolSolecito1111 Te lo puedo dar
positivo,No puedo creer que fui a una comida a casa d mis padrinos y regresé a mi casa bn peda con puro ✨champagne✨🤌🏻🤌🏻🤌🏻 uyuuuyuuy
neutro,"@MikecrackYT @GamestryEsp ¿A Cuando Se Estrena El Episodio 5 Con Easter Eggs?, A Cuando?"
positivo,Me dieron chance también de pintar algo en las paredes de lo que será un gimnasio y comienzo trazando el boceto en el muro :3 . #reigtdreve #verdebrayes #graffiti #streetart #tattoo #pinchetigr3 https://t.co/VJvtJbaqvA
neutro,Van 3 votos por la tele y 2 por el cabello. Quién quiere votar?
positivo,@PeRySoL @Bishubish Órales. Muy guapa 😘
positivo,"#PoesíaLírica ✍️      LA HISTORIA ES CICLICA    Veracruz Rinconcito donde hacen su nido las olas del mar Veracruz, Pedacito de patria que sabe sufrir y cantar  https://t.co/GqkXE1j44L"
negativo,Pues ganaron los nachos de casiques.
positivo,El viernes tuve una reunión con todos los del market de Zamna... es mi segundo año 😉.  Me encanta ver muchas Caras nuevos y varios que compartimos en el evento pasado.   En abril de ahí salieron varios nuevos clientes y un pedido a NY perrisimo 🌟🙏. Preparandome para nye 2022.
positivo,Así se despidió la mexicana #AndreaMeza de su reinado en #MissUniverso! 🇲🇽 #VLA https://t.co/WeGXDC7Nl4
negativo,"@lalonemesis095 @Patottas @almendratostada No, eso fue un somnifero de manejo quirúrgico. Sn Luis vs Pachuca fue mala nada más."
positivo,La verdadera felicidad del hombre es tener a Cristo en su Corazón 🙏🏼❤
negativo,"Los homenajes se deberían de hacer en vida, no cuando el artista ya no está."
positivo,"@PinkyRosa12 @Omzo74YT @MikecrackYT Oye Pinky!, ¡¿Quieres Hacer Un Video de Minecraft Roleplay Con TinenQa?!, Tu Novia?, Pues Si La Puedas Decirle en Una Aplicacion Rule Y Llamarle ¡¿Que Si Quiere Jugar Minecraft Contigo?!, Si Que Tu Eres De Mexico Por Que Ella Es de España!👍"
positivo,Mañana todos hacen San Lunes. 1) @redbullracing gana el campeonato. 2) Chente y su conmemoración. 3) Gana el @AtlasFC después de 80 años. Día improductivo.
positivo,"Se me antojo un elotito de mi Ciudad, no importa que día lo escriba"
positivo,@CBDmedicinales Gracias 💕
neutro,Definitivamente diciembre no es mi hit. Primavera llega ya.
negativo,"Me llevo mejor con personas que no son yucatecas (hay sus pocas excepciones). No se porque, pero me pasa lo mismo con muchas personas, hoy estaba platicando con un chavo de Durango en el trabajo y muy amable, estuve a punto de pedirle su número pero sentí pena, soy tímido."
positivo,"@PinkyRosa12 @Omzo74YT @MikecrackYT Si Utilisas Tu Ordenador y Tu Celular Para Hacer Un Video de Minecraft Con TinenQa, Pues Si Haces Una Serie de Roleplay de Minecraft Llamada  PinknenQa: Al Estremo , Sera Por Si Tienes Tiempo De Hacerlo!, Buena Suerte Pinky!, TinenQa Te Ama.., Es Tu Novia..❤"
negativo,Quieeeeeero que alguien me apapache y no me suelte 🥺
neutro,en el trabajo // en la casa https://t.co/VFu0NxOX7x
positivo,@lamz_07 Ayyyy ♥️♥️♥️♥️♥️ Que me guarde dos 😍
negativo,Y luego de Vicente fdz 😢
neutro,@soldadodesolari Se ve que no la viste. Ganó Necaxa por gol de visitante 1-1 en la ida y 0-0 en la vuelta. Partido Necaxa defendiendo y Celaya inoperante de flojera. Ganó Necaxa sin ganar UN partido en la final y sin penales. Ganale a eso.
negativo,"Pues si medio me molesta cuando me saludan diciendo  ya no hablas/saludas . Pues también pueden saludar ustedes, nadie tiene una obligación"
positivo,"#Francamente el que gobierna en Guerrero es Feliz x y no su hija, por mas que #Morena diga lo contrario. La búsqueda de la equidad de género uno más de los #Fracasos4T #MorenaMiente #MorenaDestruyendoAMexico #LigaDeGuerreros #Mexico  https://t.co/adaG4aqGcN"
neutro,"I'm at Aeropuerto Internacional de Mérida Manuel Crescencio Rejón - @asurmexico in Mérida, YUC https://t.co/3Ox40EWGRF"
negativo,A este men igual le gusta tocar gente sin consentimiento 😎
positivo,El Jalisco revienta... Bien por Atlas 👏👏
positivo,@soldadodesolari Ah no pues si les vas uno de los dos seguro fue emocionante jajaja.
positivo,@Pedropa60731466 Ricas tardes mujer
negativo,Sería una mamada que le anularan el gol a @AtlasFC  cuando no le marcaron claro penal.
positivo,@SolSolecito1111 Claro quien no quisiera estar con una belleza de mujer
neutro,Vaya robo del Atlas. https://t.co/uEm806YFEK
positivo,Mi Atlas cerca del sueño! 🥺🥺🥺 🦊
neutro,"Increíble, ya que les den la copa. @EmmaSan13 @robyV3"
positivo,"Que drama con el atlas!!!! Mis respetos a su aficion, si fuera seguidor del atlas ya estaría tomando mi presión cada 10 min"
positivo,@AlexaMex8 Que ricos labios para chuparlos
negativo,Yo que estaba curada de estos males.
positivo,Esta bueno el fútbol #ElCampeonSera ??????????????? @AztecaDeportes https://t.co/kpaV6Ugdwz
positivo,✅ Auto limpio. ✅ Casa limpia. ✅ Ropa y sábanas limpias.  Fin de semana productivo. 😌
positivo,Si vinieron de azul mis amigues El próximo año todos en drag ehhh https://t.co/pMBFK7SLfM
neutro,Siento que esta semana haré posada de dos con adri en san bravo
neutro,@CaramelFuckBoy Cuando hacemos vídeo llamada..m
neutro,Mención honorífica a Paraguay 💙
negativo,Esta parejo el pedo
positivo,"¡Qué hermoso se ve pletórico el estadio Jalisco!, un estadio histórico en el que regó su talento el tricampeón del mundo: Pelé. Ojalá que hoy el Atlas logre la hazaña y se corone campeón. ¡Vamos, vamos Atlas!"
negativo,"Lo que fallo el Atlas.... El que perdona,"
neutro,Se están mereciendo el triunfo el león
negativo,¡La falla de los 70 años! 😰
positivo,Se lo está ganando el león
negativo,Mi mundo es su conexión
negativo,@sergiozs1009 Me produce una lástima el Atlas.
neutro,Viene el león no mames
negativo,Porque todo tiene que ser tan complicado
negativo,No puedo creer lo que estoy viendo.
indeterminado,"Chale, nadie me dijo “feliz día de tu santo” mínimo una cenita. No sé 🤷🏻‍♀️"
negativo,"@PecasCaffeine No es tan malo, después de que sabes que tu familia está lejos de casa!!!"
neutro,"Acaba de publicar una foto en Mérida Centro, Mérida https://t.co/1g7wkzoPst"
negativo,"No hay fuera de juego, no hay penal, si hay roja, ya denles la copa"
negativo,Mi mamá les hizo pie de nuez a mis compañeritos del trabajo y nadie lo probó siquiera y ya me anda preguntando mi mamá que me dijeron de su pie en mi trabajo xd
neutro,@pmilfpotra Si ya veo no es tan fácil
positivo,@mariana_silvaab Festeja el Atlas en el mismo lugar que las Chivas?
negativo,"Llevo horas diciendo que una partida más y me duermo, y aún sigo jugando, ni en mi puedo confiar 😡"
negativo,@Patottas No cerca de ser fuera de lugar.
negativo,"@sergiozs1009 Esto ya no es divertido, es triste."
neutro,@Patottas @hagala_ El que se suba al tren correcto de emociones se lo lleva.
neutro,@dirami13 Escucho
neutro,Jelicopterrrr jelicopterrr
negativo,"A este grado del partido, ojalá que nos vayamos a los penales aunque los odie!"
positivo,Definitivamente hacer piernas en el gym te seca de nuevo jajaja
negativo,Alv! Ya soy famosa en TikTok 🙈😜 hoy tuve 100 nuevos seguidores 😮‍💨 y solo haciendo pendejadas (ósea siendo yo)
neutro,Alguien para vídeo llamada o que vengas para hacer nubes y fume aún no se termina el domingo. Envía WhatsApp por MD. https://t.co/3BYrVdamBc
positivo,"Juan 3 : 16 Porque de tal manera amó Dios al mundo, que ha dado a su Hijo unigénito, para que todo aquel que en él cree, no se pierda, mas tenga vida eterna."
neutro,Todo se soluciona hablando 🗣
negativo,@JoseTov98845551 @Roberto_Cein Eres menos todo no te quejas de lo
negativo,Neta que en Temozón hay gente más envidiosa 🙄 pasados!
negativo,Estoy hasta la madre de las corridos tumbados q escucha la Evelyn🙄.
positivo,"Hoy otro grande se nos fue 😔🕊️🕯️ ojalá las personas que queremos mucho fueran eternas 🙌me recuerda mucho a ciertas personas 🥲 no puedo imaginar su dolor porque cada duelo es diferente, pero sin duda seguirás siempre 🎤🎵🎶🎼 #ChenteSigueSiendoElRey"
neutro,@ramosrizo @pacochaconmx @PAULEDELGADILLO por qué no amonestaron a Rocha cuando metió gol y se alzó su playera para mostrar un mensaje? . Es cuando te quitas la playera o la alzas?
negativo,Bajón es que esta navidad huesito ya no está 💔
positivo,Eres arte ..
negativo,"Estoy emprendiendo, pero no tengo piñatas por él momento... Esas las puedo entregar después. https://t.co/5uZTnsFQAQ"
neutro,"Yo no tomo vino con cualquiera... De hecho, lo tomo a solas, en casa y para reflexionar."
positivo,#CambiemosDeActitud 🧠 #PensamientoPositivo 🤜🤛 https://t.co/3BzikiTS55
positivo,Te tomaré de las manos por toda la eternidad
positivo,"Yo no bebo vino con cualquier persona... De hecho, suelo beberlo a solas para acompañar mis pensamientos nocturnos."
neutro,"y recuerden, siempre digan lo que sienten con sinceridad."
neutro,Acaba de publicar una foto en Dzitbalché Campeche https://t.co/ABjrjyTDMh
negativo,@Gato98753041 Como te contacto. Me pasas tu WhatsApp por MD. Quiero fumar por vídeo llamada.
positivo,El portero de León me parece mejor.
positivo,Cdmx #cdmx #torrelatinoamericana #Mexico #CDMX #AlMomento #catzin #yucatan #uber #sexy #amor #merida #paseo https://t.co/m9953O2Ey7
negativo,@dirami13 Están muy parejos los porteros.
positivo,@danluis27 Ayñ y que lindo para ti 💕 ♥ 💖
neutro,"@Daverlibre Nomas no es mi hit la fecha, las fechas"
positivo,"@Danxxx78600750 Jajajajajajaja bb ¿flaco? Nomas fíjese a los costados, hay mucha panza feliz en la foto"
negativo,@JoseBel08019955 ¿Con todo y la pancita? 🙈 🙈 🙈 🙈
positivo,@JhosepRodrgue14 Gracias bb 🐻
positivo,@dirami13 Si es muy bueno. Pero Vargas no es malo y en penales es muy bueno.
positivo,@addy_nov10 Que rico te puedo ayudar 😋
positivo,@JuanKrl0s2 ¡¡No mames!! La quiero de regalo de navidad 🥺🥺🥺🥺
positivo,@RaulMen45863097 ¡Me encanta!
positivo,@diego_salito25 Espero coincidamos de nuevo
negativo,Esta bello esta madre
negativo,Valiendo verga león
neutro,Por lo visto todos tienen un láser en el Jalisco tanto al cobrador y portero de León los andan  señalando .
negativo,Satanas me decía y es cierto
negativo,"Alm, estoy sacada de pedo."
positivo,@facundoboludo no puedo aplicar tu lema  Corro rápido y grito fuerte  pero eres un gran referencia che boludo jajajajajaja
neutro,"Viene atlas, digo que la falla"
negativo,Por poco y mueren
neutro,"Yo se q están en shock por lo q subí, pero bien dicen que  las relaciones es entre 2  no más. (eso no quiere decir que... )"
neutro,@midboy2021 A la orden !!
neutro,@yamirootz15 las personas son complicadas pero el tiempo te ayudara a entender q lo q importa es lo q a ti no te estrese
negativo,@eemybaa Cuenta conmigo 😩
positivo,Dale pepenador vargaz!!!!
indeterminado,Te lo dijeeee pepenadooooor!!!!!!!!!!!
positivo,Felicidades Atlas 👏👏👏
negativo,"Se coronó el Atlas, ya nada es imposible."
positivo,"Vamooooss @AtlasFC, confié en ustedes y se la rifaron, grandeeeee ❤️❤️❤️❤️"
neutro,"Atlas es campeón. 3 a 2 en penales, 6 a 5 en total a favor."
positivo,"¡Qué dramático, qué gusto por la afición rojinegra que salen campeones luego de 70 años de amarga espera! ¡Atlas CAMPEÓN!"
positivo,Y 70 años después...El Atlas es campeón del Futbol mexicano
positivo,"70 años tuvieron que pasar para que atlas fuera campeón, primero Cruz Azul ahora atlas quien sigue?"
positivo,"Tu carita me inspiran las ganas de amar de verdad, mi rey. Tú eres mi vicio perfecto 💘❤️"
positivo,2021 hizo campeón al. Cruz azul. Y al atlas que locura!
positivo,"¡Leyenda, Checo! 👏🏻🇲🇽 🔥🏎️ @SChecoPerez"
neutro,Cruz azul y Atlas  Si esto no es señal del fin de los tiempos entonces no se que sea
positivo,🔴⚫ El @AtlasFC campeón!!!
negativo,@yorch_med No mames cabron …. Que sigue inflación de 7.3%?
positivo,¡Por fin! Se acabo la maldición y @AtlasFC es #Campeón del #FutbolMexicano. ¡Muchas Felicidades a los Campeones! https://t.co/2XTQdARl8P
positivo,"Atlas campeón !!!! En penales ganó !!! Partido al rojo vivo !! Bien jugado Leon !!! Después de 70 años se coronan ⭐️ ⭐️!!!!  @AtlasFC ,  @clubleonfc"
negativo,"Estoy llorando en mi habitación, todo se nubla a mi alrededor"
positivo,Atlas y Cruz Azul campeones en el mismo año. ¿Qué nos espera?
negativo,Cada día duele más esta canción 🥲 @yoAlvaroDiaz https://t.co/lwgwXwKepE
neutro,Partido al 10000000 @AtlasFC
positivo,Felicidades a mis dos mejores amigos del Atlas @ElPanket0o17 @MasioSinLey disfrútenla cabrones!!!
positivo,El amor lo conocí contigo 💗 https://t.co/0YMGRM37Vp
positivo,Muchas felicidades tío @RicardoBSalinas
positivo,El Jalisco está que explota de felicidad
positivo,@mariana_silvaab Felicidades!
positivo,"Que chingon por los canteranos de @AtlasFC  y así por todos los que representan esa institución, cuando se hacen bien las cosas se ven los resultados 🦊❤️"
negativo,Quiero ¿quien me da así?
positivo,Muchos años fue ! Ahora son campeones @AtlasFC
positivo,Se debe lograr
positivo,Fue día de Rojinegros @redbullracing y @AtlasFC Campeones!! Muchas felicidades!
positivo,Grande el Atlas....  De México   ❤ https://t.co/Qo8wKUjqX6
positivo,Hasta la locura tiene Cura jejeje felicidades @lalodiaz51 @L3androBurgos
negativo,"@jackievargas36 Quedó riquísimo pero un gato entro por la ventana y lo jugueteó 😡😡😡😡😡 hice un santo coraje que hasta mi presión se me bajo, prometo que si viajo a visitarte te llevo uno 🤭"
positivo,Fin del mundo? Chale en un mismo año se rompen varias sequías de títulos.
positivo,"Contra todo pronóstico, el Atlas es un dignisimo y merecidisimo campeón del fútbol mexicano ⚽️"
positivo,@GARMACAMPOS Claro que es! Jajaja
positivo,@LaDepresiva93 Hermoso 🤩 ¿Cómo utilizas o recomiendas usar el blunt roller?  Yo tuve uno y nunca pude 😢
positivo,"Le ganamos a Santa❤️ fue lo más parecido a lo que nos pedía. Sabemos que lo cuidará con la misma ternura, paciencia y amor que cuida a Blas. https://t.co/KzInHMkaVT"
positivo,Recorrí Dzibilchaltún una vez más y es muuuy hermoso! https://t.co/6CVA9vmXSV
negativo,¿Por qué el 90% de los sushi traen queso crema? 🐻🤢🤮🙄😒
negativo,Al fin se acabó este torneo de mierda con el resultado que todos sabían era lo lógico dado como se fueron llevando las cosas💵💵💵
positivo,Muchas felicidades al nuevo campeón @atlasfc en Mérida Yucatán https://t.co/d3POpIIZVw
positivo,Gracias por todo 😘
positivo,Mi hermana está muy abrazable. Ojala durmiera conmigo para abrazarla como a un osito de peluche :3
positivo,"@mariana_silvaab Jajaja yo tampoco le voy, pero me dió gusto por ellos jajaja se lo merecía."
positivo,"¡Otro milagro de la 4T! jajaja 😅 Ya le tocó a mi Cruz Azul, hoy le toca al #Atlas. Felicidades al campeón ⚽🏆"
negativo,"Deberían transmitir miss universe diario, para ver si bajo de peso, me quita el hambre."
positivo,Yo en Mérida 😂😂
neutro,@trvefaith Furch pudo jugar en el América pero no quiso el Ajedrecista
neutro,Este campeonato no tiene ninguna validez.
positivo,Atlas campeón!!!!
neutro,@Patottas Se nota un trabajo de juego de conjunto súper bueno.
positivo,El wey que apostó que Atlas sería campeón al inicio del torneo: https://t.co/FWS2sShpRY
positivo,Mandamiento sin objetar!
negativo,Viva la mediocridad de nuestro fútbol.
positivo,"Muy buen fin de semana deportivo.  Muchos problemas en el país y desafortunadamente, la mañanera de mañana será sobre Vicente Fernández.   Cuanto apuestan?"
positivo,"@losmayucasdelmayab festejando☄️, después de la Expo Golden Zone Tatto…🛸🎄 en Boston's Dorada https://t.co/nf5t5DQ9Mh"
positivo,Alguna nena o pareja en el sur de la ciudad de Mérida ando hot con ganss de coger bien rico
positivo,Lo de @martinolimx es de una grandeza impresionante. Habla de su jerarquía y de su categoría como uno de los mejores comunicadores de México.  @AtlasFC Campeón del fútbol Mexicano.
neutro,@atlasfc Campeón en Mérida Yucatán https://t.co/r11gR078eF
positivo,Sin querer fue fin de semana familiar☺️☺️
positivo,"Me encantan tus mensajitos, así sé cómo estás"
negativo,La neta que cualquier opinión no vale absolutamente nada desde el sábado en la mañana
negativo,He aquí Cuando un equipo es ridiculo
neutro,@Pepeman89 @ismaccino La mas fría di
positivo,Ahora sólo falta que el Benfica gane la Champions...
positivo,Un día histórico en el deporte.
negativo,@Chivas Es el tw más estúpido que he visto... Sin duda merecen seguir hundidos
positivo,"Por más tonto que parezca, pero yo no tengo la facilidad de maquillarme (realmente no lo sé hacer jaja) entonces uno de mis propósitos es aprender a maquillarme chingón 🤞🏼"
positivo,"@FerMG33_ @alejandrokent @chuy_hermoso Sí, es facho 😂 Y es la burla nacional 😂"
negativo,@trevino_bass @Ia___beIlezza @Destructor24LG @POTUS ¿Quién es esta chaira que me tiene bloqueado? https://t.co/h065P3n4h7
positivo,Se escucha a Vicente Fernández en el Jalisco. Waooo. @AtlasFC
positivo,@Bvlxp ¿Que dijiste de vivir en Yucatán? https://t.co/cizmXcIg1P
positivo,Jajajaja totalmente de acuerdo !
positivo,Venados @venadosfc nos vemos el lunes 20 de diciembre #PrimeroSoyVenado
neutro,"@gar_mau Con una botella de vino, lo soportaras. https://t.co/prow2hAfGn"
neutro,EEENOORMEEEEEEEEEEEE
negativo,¿ cómo voy a salir de este laberinto?
negativo,Yo te apendejas y me voy y sho no digo nada antes de irme nene
negativo,Mi mamá comenzó a hacer sus pruebas de la comida de navidad y yo tratando de hacer al 109 mi dieta 
negativo,"Ellos sí, ¡USTEDES NO! Vergüenza les debería dar @Chivas. 😠🤡🤡🤡 https://t.co/c2cmSOOPPL"
positivo,Días sólo días para ya x fin ver a mi familia 🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍
positivo,Felicidades por ellos ❤️🖤👏 https://t.co/fxIM2Spfxx
positivo,"Jajajajaj nmms Felícitas al Atlas pero también dices que fue un campeonato dudoso, tantita madre"
neutro,@GabrielCaracas4 Que necesidad?!
positivo,@dirami13 Sigo esperando jaja
negativo,"A huevo, siempre creí en el atlas hijos de su pinche madre. https://t.co/Aavyh0N17M"
neutro,"Ridículas y nacos es la mejor definición para las Chivas con su publicación, wtf con su equipo de comunicación y CM"
positivo,Ya no aplicará.... le voy al @AtlasFC aunque gane!  Felicidades rojinegros la hicieron cardiaca 🥳🥳🥳🥳🥳🥳
positivo,"Independientemente a qué equipo le vayas, es una realidad la felicidad que sentimos al ver coronarse al cruz azul y Atlas,muy merecido ambos casos"
positivo,Un nuevo equipo chico… dan pena
neutro,@NohKabukiKoh La marihuana pone violentos a los jóvenes.  Los jóvenes con el monchis sacando su lado gourmet:
positivo,No quiero verte
negativo,Recordemos que no acepto un trasplante porque podría ser de joto.
neutro,@Cachorro_Mexico Recordemos que no aceptó un trasplante porque podría ser de joto.
negativo,Una lloradita y a zZzzzZ
neutro,@Solochamps De mi no vas a estar hablando.  (Le da comprar a los pre roll en mercado libre)
negativo,Acabo de descubrir que las orejitas del sillón del ado se mueven 🙊
positivo,@AntVaxxx Gracias. A la orden.
positivo,"Gracias BIG TIME RUSH, por estar aquí después de tantos años , por cumplir nuestro sueño de verlos juntos otra vez 🥺 son unos reyes y se merecen mucho amor🤍 BTR IS HERE ❤️ #CALLITLIKEISEEIT @bigtimerush @TheCarlosPena @jamesmaslow @HeffronDrive @1LoganHenderson #BigTimeRush https://t.co/zZjQFY6rGA"
positivo," Como en todos los momentos importantes de mi vida, gracias una vez más por estar a mi lado . ➖✨✨ 🥰🥰 en Tizimín https://t.co/YIVa1UkaOJ"
